id_left,name_left,description_left,price_left,name_right,description_right,price_right,text_src,id_right,text_tgt,candidates,labels
685,sony black 9 megapixel cyber-shot digital camera dsch50b,sony black 9 megapixel cyber-shot digital camera dsch50b 9 megapixels 3.0 ' tilt-up clear photo lcd plus display carl zeiss 15x optical zoom lens 15 mb internal memory versatile long distance flash smart zoom in-camera red-eye correction smile shutter technology face detection in-camera retouching super steadyshot optical image stabilization double anti-blur solution hdtv compatibility nightshot infrared system black finish,,['sony cyber-shot dsc-h50 digital camera black dsch50b'],"[""9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd""]",[329.0],sony black 9 megapixel cyber-shot digital camera dsch50b. sony black 9 megapixel cyber-shot digital camera dsch50b 9 megapixels 3.0 ' tilt-up clear photo lcd plus display carl zeiss 15x optical zoom lens 15 mb internal memory versatile long distance flash smart zoom in-camera red-eye correction smile shutter technology face detection in-camera retouching super steadyshot optical image stabilization double anti-blur solution hdtv compatibility nightshot infrared system black finish. nan,[732],"[""sony cyber-shot dsc-h50 digital camera black dsch50b. 9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd. 329.0""]","[""sony cyber-shot dsc-h50 digital camera black dsch50b. 9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd. 329.0"", ""sony cyber-shot dsc-w150 digital camera black dscw150/b. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 129.99"", ""sony cyber-shot dsc-h10 digital camera black dsch10/b. 8.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd. 213.72"", ""sony cyber-shot dsc-t300 digital camera black dsct300/b. 10.1 megapixel 16:9 2x digital zoom 3.5 ' active matrix tft color lcd. 273.95"", ""sony cyber-shot dsc-w150 digital camera gold dscw150n. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 129.99"", ""sony cyber-shot dsc-w150 digital camera silver dscw150. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 129.99"", ""panasonic lumix dmc-tz5 digital camera black. panasonic lumix dmc-tz5k 9 megapixel digital camera with 28mm wide-angle lens , 10x optical zoom , 3 ' lcd and hd output black. nan"", ""sony cyber-shot dsc-w150 digital camera red dscw150r. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 139.94"", 'sony dsc-750 cyber-shot digital camera dsc750. nan. 99.72', ""sony cyber-shot dsc-w300 digital camera. 13.6 megapixel 16:9 3x optical zoom 2x digital zoom 2.7 ' color lcd. 289.0""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
687,sony black 13.6 megapixel cyber-shot digital camera dscw300,sony black 13.6 megapixel cyber-shot digital camera dscw300 13.6 megapixel carl zeiss 3x optical zoom lens 2.7 ' clear photo lcd display in-camera retouching 15 mb internal memory in-camera red-eye correction super steadyshot optical image stabilization double anti-blur solution black finish,,['sony cyber-shot dsc-w300 digital camera'],"[""13.6 megapixel 16:9 3x optical zoom 2x digital zoom 2.7 ' color lcd""]",[289.0],sony black 13.6 megapixel cyber-shot digital camera dscw300. sony black 13.6 megapixel cyber-shot digital camera dscw300 13.6 megapixel carl zeiss 3x optical zoom lens 2.7 ' clear photo lcd display in-camera retouching 15 mb internal memory in-camera red-eye correction super steadyshot optical image stabilization double anti-blur solution black finish. nan,[846],"[""sony cyber-shot dsc-w300 digital camera. 13.6 megapixel 16:9 3x optical zoom 2x digital zoom 2.7 ' color lcd. 289.0""]","[""sony cyber-shot dsc-w300 digital camera. 13.6 megapixel 16:9 3x optical zoom 2x digital zoom 2.7 ' color lcd. 289.0"", ""sony cyber-shot dsc-w150 digital camera black dscw150/b. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 129.99"", ""sony cyber-shot dsc-t300 digital camera black dsct300/b. 10.1 megapixel 16:9 2x digital zoom 3.5 ' active matrix tft color lcd. 273.95"", ""sony cyber-shot dsc-h10 digital camera black dsch10/b. 8.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd. 213.72"", ""sony cyber-shot dsc-h50 digital camera black dsch50b. 9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd. 329.0"", ""sony cyber-shot dsc-w170 digital camera silver dscw170. 10.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. nan"", ""sony cyber-shot dsc-w150 digital camera gold dscw150n. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 129.99"", ""sony cyber-shot dsc-w150 digital camera red dscw150r. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 139.94"", ""sony cyber-shot dsc-w170 digital camera red dscw170r. 10.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 169.0"", ""sony cyber-shot dsc-w150 digital camera silver dscw150. 8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd. 129.99""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
688,sony black camcorder tripod vct80av,sony black camcorder tripod vct80av 3 stage leg extension extends from 24.88 ' to 65.88 ' in height guide frame feature available vertical position for a/v remote connector supplied carrying case black finish,180.0,['sony vct-80av tripod vct80av'],"[""floor standing tripod 24.8 ' to 65.75 ' height 8.8 lb load capacity""]",[nan],sony black camcorder tripod vct80av. sony black camcorder tripod vct80av 3 stage leg extension extends from 24.88 ' to 65.88 ' in height guide frame feature available vertical position for a/v remote connector supplied carrying case black finish. 180.0,[618],"[""sony vct-80av tripod vct80av. floor standing tripod 24.8 ' to 65.75 ' height 8.8 lb load capacity. nan""]","[""sony vct-80av tripod vct80av. floor standing tripod 24.8 ' to 65.75 ' height 8.8 lb load capacity. nan"", ""sony vct-60av tripod vct60av. floor standing tripod 18.9 ' to 57.6 ' height 6.6 lb load capacity. 69.95"", ""sony vct-r640 tripod vctr640. floor standing tripod 21.62 ' to 56.75 ' height 6.61 lb load capacity black. nan"", ""sony compact tripod 14 ' / 39 ' * nic * vctr100. nan. nan"", 'sony rdr-vx560 dvd/vcr combo. dvd-r , cd-r , vhs dvd video playback 1 disc ( s ) black. 176.08', ""sony cyber-shot dsc-h10 digital camera black dsch10/b. 8.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd. 213.72"", 'sony lcs-mx100 camcorder case lcsmx100. nylon black. 32.78', ""sony handycam dcr-sr85 digital camcorder dcrsr85. 16:9 2.7 ' hybrid lcd. 375.8"", 'sony vcl-dh1774 telephoto lens vcldh1774. black. nan', 'sony lcs-twa/b cyber-shot camera case lcstwa/b. top loading leather black. 34.0']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
690,lg stainless steel freestanding electric range lre30757ss,lg stainless steel freestanding electric range lre30757ss 5.6 cu . ft. capacity dual convection self-cleaning touch controls ceramic cooktop wideview window warming drawer interior oven light stainless steel finish,,['lg 5.6 cu.ft . freestanding electric range'],[nan],[nan],lg stainless steel freestanding electric range lre30757ss. lg stainless steel freestanding electric range lre30757ss 5.6 cu . ft. capacity dual convection self-cleaning touch controls ceramic cooktop wideview window warming drawer interior oven light stainless steel finish. nan,[786],['lg 5.6 cu.ft . freestanding electric range. nan. nan'],"['lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', ""lg electronics dlg2526w 27 ' gas dryer with 7.0 cu . ft. capacity , 5 dry programs , 5 temperature controls , 5 drying levels and sensor dry system. nan. nan"", ""lg 27 ' front-load electric dryer with 7.3 cu . ft. capacity. nan. nan""]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
691,lg 5.6 cu . ft. white freestanding electric range lre30453wh,lg 5.6 cu . ft. white freestanding electric range lre30453wh intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings white finish,,['lg 5.6 cu.ft . freestanding electric range'],[nan],[nan],lg 5.6 cu . ft. white freestanding electric range lre30453wh. lg 5.6 cu . ft. white freestanding electric range lre30453wh intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings white finish. nan,[784],['lg 5.6 cu.ft . freestanding electric range. nan. nan'],"['lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg electronics lsc21943st 21.0 cu . ft. counter-depth side-by-side refrigerator with 3 spill-protector glass shelves , spaceplus ice system , digital led display and customcube automatic ice maker. nan. nan', 'lg electronics lrbp1031w 10 cu . ft. refrigerator. nan. nan']","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
694,sony 7.1 channel black a/v receiver strdg820,"sony 7.1 channel black a/v receiver strdg820 770 watts total power ( 110w x 7 ) accepting resolutions up to 1080p via hdmi digital cinema auto calibration bravia sync digital cinema sound dolby digital , dolby digital ex , dolby pro logic ii , dolby pro logic iix , dts , dts-es , dts 96/24 , dts neo :6 decoding black finish",399.0,['sony str-dg820 a/v receiver strdg820'],"['dolby digital , dolby pro logic ii , dts 96/24 , dts neo :6 , dolby digital ex , dolby pro logic iix , dolby pro logic , dts-es , digital cinema sound , dts']",[318.72],"sony 7.1 channel black a/v receiver strdg820. sony 7.1 channel black a/v receiver strdg820 770 watts total power ( 110w x 7 ) accepting resolutions up to 1080p via hdmi digital cinema auto calibration bravia sync digital cinema sound dolby digital , dolby digital ex , dolby pro logic ii , dolby pro logic iix , dts , dts-es , dts 96/24 , dts neo :6 decoding black finish. 399.0",[888],"['sony str-dg820 a/v receiver strdg820. dolby digital , dolby pro logic ii , dts 96/24 , dts neo :6 , dolby digital ex , dolby pro logic iix , dolby pro logic , dts-es , digital cinema sound , dts. 318.72']","['sony str-dg720 a/v receiver strdg720. dolby digital , dolby pro logic ii , dts 96/24 , dts neo :6 , dolby digital ex , dolby pro logic iix , dolby pro logic , dts-es , digital cinema sound , dts. 224.79', 'sony str-dg820 a/v receiver strdg820. dolby digital , dolby pro logic ii , dts 96/24 , dts neo :6 , dolby digital ex , dolby pro logic iix , dolby pro logic , dts-es , digital cinema sound , dts. 318.72', 'sony str-dg920 a/v receiver strdg920. dolby digital , dolby pro logic ii , dts 96/24 , dts neo :6 , dolby digital ex , dolby pro logic iix , dolby pro logic , dts-es , digital cinema sound , dtsfm , am , xm. 404.07', 'sony str-dg520 a/v receiver strdg520. dolby digital , dolby pro logic ii , digital cinema sound , dts. 164.51', 'sony str-de197 av receiver 100 watts per channel. nan. 122.43', 'sony ht7200dh home theater system. dvd player , a/v receiver , 5.1 speakers 1 disc ( s ) progressive scan 1000w rms dolby digital , dolby pro logic , dolby pro logic ii , dts. 376.96', 'sony ht-ddwg700 home theater system htddwg700. dvd player , 5.1 speakers 900w rms dts , dolby digital , dolby pro logic ii. 206.96', 'yamaha rx-v863 home theater receiver rxv863bl. 735w dolby truehd , dolby digital ex , dolby pro logic iix , dolby digital plus , dts-hd , dts-es , dts 96/24 , dts neo :6 , neural surroundxm. 649.99', 'denon avr-1709 a/v receiver avr1709. dolby digital surround , dts-es , dts neo :6 , dts 96/24 , dolby pro logic iixfm , am. 448.0', 'sony bravia dav-hdx279wc home theater system. dvd player , 6.1 speakers 5 disc ( s ) progressive scan dolby digital , dts , dolby pro logic ii black. 318.01']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
700,plantronics . audio 920 bluetooth headset audio920,plantronics . audio 920 bluetooth headset audio920 switch between mobile phone & pc multipoint technology skype ready noise canceling microphone wind screen 100 % plug & play dark grey finish,,['plantronics . audio 920 wireless earset 78592-01'],['plantronics 920 . audio digital usb pc headset'],[nan],plantronics . audio 920 bluetooth headset audio920. plantronics . audio 920 bluetooth headset audio920 switch between mobile phone & pc multipoint technology skype ready noise canceling microphone wind screen 100 % plug & play dark grey finish. nan,[555],['plantronics . audio 920 wireless earset 78592-01. plantronics 920 . audio digital usb pc headset. nan'],"['plantronics . audio 920 wireless earset 78592-01. plantronics 920 . audio digital usb pc headset. nan', 'plantronics voyager 510 bluetooth headset. nan. nan', 'plantronics voyager 510 bluetooth earset. plantronics voyager510 bluetooth headset. nan', 'blueant wireless z9i bluetooth headset black us-091010. nan. 59.99', 'blueant bluetooth hs dual mic nic 091004. nan. 99.99', 'jabra bt2070 bluetooth headset 100-92070000-02. nan. nan', 'blueant supertooth light compact bluetooth speakerphone black 093744. nan. nan', 'gn jabra bt5010 wireless earset. jabra bt5010 bluetooth headset. 26.37', 'panasonic kx-tca92 headset. over-the-head. 18.42', 'aliph jawbone 2 silver bluetooth headset retail 84442vrp. nan. 89.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
701,sony weather shower cd clock radio icfcd73w,sony weather shower cd clock radio icfcd73w am/fm/weather band splash resistant 5 direct access buttons shuttle dial operation lcd display digital clock hanging strap,,['sony icf-cd73w am/fm/weather shower cd clock radio ( white )'],[nan],[68.96],sony weather shower cd clock radio icfcd73w. sony weather shower cd clock radio icfcd73w am/fm/weather band splash resistant 5 direct access buttons shuttle dial operation lcd display digital clock hanging strap. nan,[865],['sony icf-cd73w am/fm/weather shower cd clock radio ( white ). nan. 68.96'],"['sony icf-cd73w am/fm/weather shower cd clock radio ( white ). nan. 68.96', 'sony icf-s79w weather band digital shower radio icfs79w. nan. 42.0', 'sony ipod/phone dock clock radio black nic icfc1ipmk2whi. nan. 61.42', 'sony ipod/phone dock clock radio black nic icfc1ipmk2blk. nan. 80.25', 'sony xdr-s10hdip clock radio with ipod dock xdrs10hdip. lcd. 149.95', 'sony cdx-565mxrf 10-disc cd/mp3 changer. nan. 134.12', 'sony xt-100hd hd radio tuner. nan. 38.0', 'polk audio i-sonic es2 entertainment system 2 am/fm and hd table radio am1195-a. nan. 336.71', 'sony bravia dav-hdx576wf home theater system. dvd player , amplifier , 5.1 speakers 5 disc ( s ) progressive scan 1000w rms dolby pro logic ii. 478.72', 'sony cdp-ce375 cd player/changer cdpce375. cd-rom , cd-r , cd-rw 5 disc ( s ) 32 programmable track ( s ). 114.18']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
705,samsung minidv digital camcorder scdc382,samsung minidv digital camcorder scdc382 680k pixel ccd 34x zoom lens 720 x 480 pixel movie resolution digital image stabilizer 23 language options 80 minute battery life,,['samsung sc-d382 digital camcorder'],['samsung sc-d382 mini dv camcorder'],[128.96],samsung minidv digital camcorder scdc382. samsung minidv digital camcorder scdc382 680k pixel ccd 34x zoom lens 720 x 480 pixel movie resolution digital image stabilizer 23 language options 80 minute battery life. nan,[733],['samsung sc-d382 digital camcorder. samsung sc-d382 mini dv camcorder. 128.96'],"['samsung sc-d382 digital camcorder. samsung sc-d382 mini dv camcorder. 128.96', 'panasonic palmcorder sdr-h60 digital camcorder sdr-h60s. panasonic sdr-h60 60gb hard disk drive/sd hybrid camcorder with 50x optical zoom , advanced optical image stabilization , one-touch dvd copy , anti-shock shield and one-touch navigation , records to internal hard drive or sd card. nan', 'samsung nv30 digital camera silver ec-nv30zsba / us. samsung nv30 8 megapixel digital camera with schneider lens , dual image stabilization , smart touch , and face detection silver. 139.0', 'panasonic palmcorder sdr-h40 digital camcorder. panasonic sdr-h40 40gb hard disk drive/sd hybrid camcorder with 42x optical zoom , optical image stabilization , one-touch dvd copy , and anti-shock shield. 328.88', 'canon dc310 digital camcorder 2694b001. canon dc310 dvd camcorder w / 41x advanced zoom , built-in lens cover , image stabilization , & canon exclusive - digic dv ii. 289.95', 'samsung l200 digital camera black ec-l200zbba / us. samsung l200 10 megapixel digital camera with 2.5 lcd , 3x optical zoom , digital image stabilization , face detection function black. 119.0', 'samsung dvd-vr375 dvd/vcr combo dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , vhs , cd-rw dvd video , cd-da , mp3 , mpeg-4 , wma , jpeg , divx playback progressive scan. nan. 154.64', 'pure digital flip mino digital camcorder f360b. flip video mino 60 min black. nan', ""sony handycam dcr-sr85 digital camcorder dcrsr85. 16:9 2.7 ' hybrid lcd. 375.8"", ""panasonic hd 3mos 60gb hard disk drive/sd hybrid camcorder with advanced optical image stabilizer , leica lens , 12x optical zoom , 2.7 ' wide lcd and records to internal hard drive and sd card hdc-hs100k. nan. 911.96""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
706,sony splash resistant shower radio icfs79w,sony multi band digital tuner shower radio icfs79w splash resistant am/fm/weather band reception easy one button weather band select built-in digital clock selectable automatic-off timer quartz synthesized tuner built-in antennas,49.0,['sony icf-s79w weather band digital shower radio icfs79w'],[nan],[42.0],sony splash resistant shower radio icfs79w. sony multi band digital tuner shower radio icfs79w splash resistant am/fm/weather band reception easy one button weather band select built-in digital clock selectable automatic-off timer quartz synthesized tuner built-in antennas. 49.0,[981],['sony icf-s79w weather band digital shower radio icfs79w. nan. 42.0'],"['sony icf-s79w weather band digital shower radio icfs79w. nan. 42.0', 'sony icf-cd73w am/fm/weather shower cd clock radio ( white ). nan. 68.96', 'sony ipod/phone dock clock radio black nic icfc1ipmk2whi. nan. 61.42', 'sony ipod/phone dock clock radio black nic icfc1ipmk2blk. nan. 80.25', 'sony xdr-s10hdip clock radio with ipod dock xdrs10hdip. lcd. 149.95', 'polk audio i-sonic es2 entertainment system 2 am/fm and hd table radio am1195-a. nan. 336.71', 'sony xt-100hd hd radio tuner. nan. 38.0', 'sony bravia dav-hdx576wf home theater system. dvd player , amplifier , 5.1 speakers 5 disc ( s ) progressive scan 1000w rms dolby pro logic ii. 478.72', 'boston acoustics horizon solo am/fm radio hsolomndt. nan. 90.0', 'ihome ip47br bluetooth clock radio & speakerphone for iphone & ipod ip47br. nan. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
709,sony 32 ' bravia m-series gloss black lcd flat panel hdtv kdl32m4000,"sony 32 ' bravia m-series gloss black lcd flat panel hdtv kdl32m4000 1366 x 768 resolution 9,000:1 dynamic contrast ratio advanced contrast enhancer ( ace ) atsc/ntsc tuner with qam 3d comb filter bravia theatre sync clean wire management gloss black finish",,"[""sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000""]","[""32 ' atsc , ntsc 16:9 1366 x 768 hdtv""]",[639.95],"sony 32 ' bravia m-series gloss black lcd flat panel hdtv kdl32m4000. sony 32 ' bravia m-series gloss black lcd flat panel hdtv kdl32m4000 1366 x 768 resolution 9,000:1 dynamic contrast ratio advanced contrast enhancer ( ace ) atsc/ntsc tuner with qam 3d comb filter bravia theatre sync clean wire management gloss black finish. nan",[891],"[""sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000. 32 ' atsc , ntsc 16:9 1366 x 768 hdtv. 639.95""]","[""sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000. 32 ' atsc , ntsc 16:9 1366 x 768 hdtv. 639.95"", ""sony bravia m series kdl-26m4000 26 ' lcd tv kdl26m4000. 26 ' atsc , ntsc 16:9 1366 x 768 hdtv. 538.72"", ""sony bravia m series kdl-19m4000 19 ' lcd tv kdl19m4000s. 19 ' atsc , ntsc 16:9 1440 x 900 dolby hdtv 1080i , 1080p. 379.72"", ""sony bravia kdl-32l4000 32 ' lcd tv kdl32l4000. 32 ' atsc , ntsc 16:9 1366 x 768 hdtv. 597.72"", ""sony bravia w series kdl-46w4100 46 ' lcd tv kdl46w4100. 46 ' atsc , ntsc 16:9 1920 x 1080 hdtv. 1399.99"", ""sony bravia z series kdl-40z4100 40 ' lcd tv kdl40z4100/b. 40 ' atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv 1080i , 1080p. 1327.47"", ""sony bravia z series kdl-46z4100 46 ' lcd tv kdl46z4100/b. 46 ' atsc , ntsc 16:9 1920 x 1080 dolby hdtv 1080i , 1080p. 1687.98"", ""sony bravia s series kdl-46s4100 46 ' lcd tv kdl46s4100. 46 ' atsc , ntsc 16:9 1920 x 1080 hdtv. 1188.65"", ""sony bravia v series kdl-52v4100 52 ' lcd tv kdl52v4100. 52 ' atsc , ntsc 16:9 1920 x 1080 hdtv. 1599.0"", ""sony bravia w series kdl-52w4100 52 ' lcd tv kdl52w4100. 52 ' 16:9 1920 x 1080 hdtv. 1998.72""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
711,lg 30 ' white freestanding gas range lrg30357wh,lg 30 ' white freestanding gas range lrg30357wh 5.0 cu . ft. capacity oven superboil burner 5 burner system smoothtouch controls warming drawer electronic ignition system one piece recessed cooktop self-cleaning oven white finish,,['lg 5.0 cu.ft . freestanding gas range'],[nan],[nan],lg 30 ' white freestanding gas range lrg30357wh. lg 30 ' white freestanding gas range lrg30357wh 5.0 cu . ft. capacity oven superboil burner 5 burner system smoothtouch controls warming drawer electronic ignition system one piece recessed cooktop self-cleaning oven white finish. nan,[789],['lg 5.0 cu.ft . freestanding gas range. nan. nan'],"['lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', ""lg electronics dlg2526w 27 ' gas dryer with 7.0 cu . ft. capacity , 5 dry programs , 5 temperature controls , 5 drying levels and sensor dry system. nan. nan"", 'lg electronics dlg0452w 7.3 cu . ft. 9-cycle gas dryer. nan. nan']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
712,lg 30 ' black freestanding gas range lrg30357bk,lg 30 ' black freestanding gas range lrg30357bk 5.0 cu . ft. capacity oven superboil burner 5 burner system smoothtouch controls warming drawer electronic ignition system one piece recessed cooktop self-cleaning oven white finish,,['lg 5.0 cu.ft . freestanding gas range'],[nan],[nan],lg 30 ' black freestanding gas range lrg30357bk. lg 30 ' black freestanding gas range lrg30357bk 5.0 cu . ft. capacity oven superboil burner 5 burner system smoothtouch controls warming drawer electronic ignition system one piece recessed cooktop self-cleaning oven white finish. nan,[787],['lg 5.0 cu.ft . freestanding gas range. nan. nan'],"['lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', ""genesis series 3741001 60 ' freestanding gas grill with 637 sq. in . cooking surface & 3 stainless steel burners : black lp gas. nan. 636.61"", ""lg electronics dlg2526w 27 ' gas dryer with 7.0 cu . ft. capacity , 5 dry programs , 5 temperature controls , 5 drying levels and sensor dry system. nan. nan""]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
714,lg 30 ' stainless steel freestanding gas range lrg30357ss,lg 30 ' stainless steel freestanding gas range lrg30357ss 5.0 cu . ft. capacity oven superboil burner 5 burner system smoothtouch controls warming drawer electronic ignition system one piece recessed cooktop self-cleaning oven stainless steel finish,,['lg 5.0 cu.ft . freestanding gas range'],[nan],[nan],lg 30 ' stainless steel freestanding gas range lrg30357ss. lg 30 ' stainless steel freestanding gas range lrg30357ss 5.0 cu . ft. capacity oven superboil burner 5 burner system smoothtouch controls warming drawer electronic ignition system one piece recessed cooktop self-cleaning oven stainless steel finish. nan,[788],['lg 5.0 cu.ft . freestanding gas range. nan. nan'],"['lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.0 cu.ft . freestanding gas range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', 'lg 5.6 cu.ft . freestanding electric range. nan. nan', ""lg electronics dlg2526w 27 ' gas dryer with 7.0 cu . ft. capacity , 5 dry programs , 5 temperature controls , 5 drying levels and sensor dry system. nan. nan"", ""genesis series 3741001 60 ' freestanding gas grill with 637 sq. in . cooking surface & 3 stainless steel burners : black lp gas. nan. 636.61""]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
715,samsung 5 disc home theater surround sound system httz515,"samsung 5 disc home theater surround sound system httz515 5.1 channel 5 disc capability usb host play ipod dock divx playback dolby digital , dolby pro logic and dts system black finish",,['samsung ht-tz515 home theater system htz515/xaa'],['samsung 5 dvd hm theater wi-fi xm ready nic'],[nan],"samsung 5 disc home theater surround sound system httz515. samsung 5 disc home theater surround sound system httz515 5.1 channel 5 disc capability usb host play ipod dock divx playback dolby digital , dolby pro logic and dts system black finish. nan",[699],['samsung ht-tz515 home theater system htz515/xaa. samsung 5 dvd hm theater wi-fi xm ready nic. nan'],"['samsung ht-z510 home theater system. dvd player , 5.1 speakers 5 disc ( s ) progressive scan 1200w rms dolby digital , dolby pro logic ii , dts. 321.55', 'samsung htz410t home theater system htz410t. samsung ht-z410t 5 disc home theater surround sound system with hdmi and divx playback. 279.0', 'samsung ht-tz515 home theater system htz515/xaa. samsung 5 dvd hm theater wi-fi xm ready nic. nan', 'samsung dvd hm theater sys 5 disc nic ht-z410 / xaa. nan. 235.14', 'samsung ht-bd2t blu-ray 7.1 home theater system blu-ray , dvd & cd playback , fm receiver w/30 station presets , 1100w total output , 4 tower speakers & subwoofer ht-bd2t / xaa. nan. nan', 'samsung htx810t home theater system htx810t. samsung ht-x810 2.1 soundbar home theater system. 580.14', 'samsung ht-x710 bluetooth 400-watt home theater system with ipod dock. nan. nan', 'sony bravia dav-hdx275 home theater system. , 5.1 speakers 5 disc ( s ) progressive scan 1000w rms dolby pro logic ii. nan', 'sony bravia dav-is50 / b home theater system. dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii. nan', 'onkyo hts5100 home theater system hts5100b. , a/v receiver , 7.1 speakers 1200w rms dolby pro logic iix , dolby digital , dolby digital ex , dts , dts-es , dts neo :6 , dts 96/24 black. 478.72']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
